id,name,sponsor,business_problem,current_workflow,proposed_ai_role,affected_users,volume,frequency,value_claim,data_readiness,risk_level,workflow_clarity,strategic_fit,existing_tools,deadline,notes
AI-001,Invoice Exception Intelligence Layer,Finance Operations,Analysts spend too much time sorting invoice exceptions before routing them for resolution,Invoice matching exception triage and escalation,Sense invoice exceptions interpret root cause recommend routing and learn from resolution outcomes,Accounts payable analysts and vendor managers,high,daily,Reduce exception triage time by 25 percent,partial,moderate,high,high,ERP shared inbox reporting exports,Q3,Needs human approval before customer or vendor communication
AI-002,Executive Meeting Summary Bot,PMO,Leadership wants faster meeting summaries,Meeting notes action capture and follow-up tracking,Summarize meetings extract decisions and draft action lists,PMO leads and meeting owners,medium,weekly,Save two hours per meeting,available,low,medium,medium,Teams transcripts,Q2,May overlap with existing transcript features
AI-003,Customer Churn Predictor,Revenue Operations,Retention team wants earlier warning signs for churn,Customer health review and renewal prioritization,Predict churn risk and recommend next-best retention actions,CSMs revenue leaders and account teams,medium,monthly,Improve renewal prioritization,weak,high,low,high,CRM support tickets product usage exports,Q4,No baseline or labeled outcome data yet
AI-004,Policy Q&A Assistant,HR Operations,Employees ask repeated policy questions across multiple channels,Employee policy support and HR service requests,Answer policy questions from approved documents with citations,Employees HR operations and people managers,high,daily,Reduce repeated HR questions,available,moderate,high,medium,Knowledge base HR ticketing,Q3,Needs source citation escalation path and answer confidence threshold
AI-005,Sales Deck Generator,Sales Enablement,Sellers spend time assembling generic decks,Sales collateral preparation and account research,Generate account-specific first drafts from approved content,Sellers sales managers and enablement leads,medium,weekly,Improve seller prep speed,partial,moderate,medium,medium,CRM content library call notes,Q3,Value depends on content quality brand controls and human review
AI-006,AI Strategy Dashboard,Transformation Office,Executives want visibility into AI activity,Portfolio reporting and status aggregation,Create dashboard and narrative summary of AI initiatives,Executives transformation office and PMO,low,monthly,Increase visibility,unknown,low,low,medium,Spreadsheets,Q2,Problem is governance design more than AI
AI-007,Contract Redline Agent,Legal Operations,Legal review turnaround is slow for customer contracts,Contract review redline drafting and risk escalation,Recommend redlines and risk notes from clause library,Legal operations attorneys and sales teams,medium,weekly,Reduce legal cycle time,partial,high,medium,high,CLM clause library,Q4,Requires legal approval high control maturity and audit trail
AI-008,Product Feedback Synthesizer,Product Operations,Feedback is scattered across calls tickets and notes,Research synthesis theme extraction and roadmap evidence review,Cluster themes cite examples and identify decision implications,Product managers UX research and support leaders,high,weekly,Improve roadmap signal quality,available,moderate,high,high,CRM tickets call notes research repository,Q3,Good candidate for bounded synthesis pilot
AI-009,Field Service Scheduling Agent,Operations,Manual scheduling creates avoidable technician travel and missed priority calls,Dispatch planning exception handling and schedule adjustment,Recommend schedule changes and flag conflicts,Dispatchers technicians and service managers,high,daily,Reduce travel waste and missed SLA risk,partial,high,medium,high,FSM tool maps technician calendars,Q4,Orchestration and risk controls are more important than text generation
AI-010,AI Vendor Intake Screener,Procurement,Teams bring AI vendor requests before use case and risk are clear,Vendor intake and pre-procurement review,Decompose vendor proposals into use case risk data and proof requirements,Procurement security legal and business sponsors,medium,weekly,Reduce low-quality vendor review cycles,available,moderate,high,high,Intake form vendor decks security questionnaire,Q3,Strong fit for this operating system as a meta-use case
